title,platform,seller,category,price,commission_rate,estimated_commission,url,relevance,search_term,is_real_data,score,collected_at
Curso de Design Gráfico,Hotmart,Academia Academy,Empreendedorismo,1797,50,898.5,https://www.hotmart.com/product/curso-de-design-gr-fico,1.0,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo,Hotmart,Academia Academy,E-commerce,797,67,533.99,https://www.hotmart.com/product/ebook-empreendedorismo,1.0,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online,Hotmart,Academia Digital,E-commerce,1597,65,1038.05,https://www.hotmart.com/product/curso-de-vendas-online,1.0,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Design Gráfico,Monetizze,Instituto Master,Negócios Online,197,42,82.74,https://app.monetizze.com.br/produto/curso-de-design-gr-fico,1.0,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo,Monetizze,Instituto Institute,Vendas,797,33,263.01,https://app.monetizze.com.br/produto/ebook-empreendedorismo,1.0,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online,Monetizze,Instituto School,Negócios Online,297,34,100.98,https://app.monetizze.com.br/produto/curso-de-vendas-online,1.0,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online VIP,Monetizze,Instituto Expert,Marketing,97,57,55.28999999999999,https://app.monetizze.com.br/produto/curso-de-vendas-online-vip,0.7265818084387303,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online Avançado,Monetizze,Instituto Expert,Negócios Online,1397,38,530.86,https://app.monetizze.com.br/produto/curso-de-vendas-online-avan-ado,0.7398502201966226,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Design Gráfico,Eduzz,Escola Master,Empreendedorismo Digital,97,42,40.74,https://www.eduzz.com/produto/curso-de-design-gr-fico,1.0,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Curso de Design Gráfico VIP,Eduzz,Escola University,Empreendedorismo Digital,897,54,484.38000000000005,https://www.eduzz.com/produto/curso-de-design-gr-fico-vip,0.8863764465245727,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo,Eduzz,Escola Academy,Empreendedorismo Digital,597,37,220.89,https://www.eduzz.com/produto/ebook-empreendedorismo,1.0,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo Premium,Eduzz,Escola Learning,Empreendedorismo Digital,97,58,56.26,https://www.eduzz.com/produto/ebook-empreendedorismo-premium,0.8982122444777296,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo VIP,Eduzz,Escola Pro,Empreendedorismo Digital,197,51,100.47,https://www.eduzz.com/produto/ebook-empreendedorismo-vip,0.8912238252210763,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online,Eduzz,Escola Digital,Educação,197,39,76.83,https://www.eduzz.com/produto/curso-de-vendas-online,1.0,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online VIP,Eduzz,Escola Master,Infoprodutos,497,44,218.68,https://www.eduzz.com/produto/curso-de-vendas-online-vip,0.7273486091961507,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Design Gráfico,ClickBank,Pro School,E-business,697,58,404.26,https://vendor.clickbank.net/curso-de-design-gr-fico,1.0,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Curso de Design Gráfico VIP,ClickBank,Pro Learning,Business,197,56,110.32000000000001,https://vendor.clickbank.net/curso-de-design-gr-fico-vip,0.8009579387160283,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo,ClickBank,Pro Institute,E-business,97,68,65.96000000000001,https://vendor.clickbank.net/ebook-empreendedorismo,1.0,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo Premium,ClickBank,Pro Learning,Marketing,797,59,470.22999999999996,https://vendor.clickbank.net/ebook-empreendedorismo-premium,0.8488719854364798,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online,ClickBank,Pro Education,Marketing,297,71,210.86999999999998,https://vendor.clickbank.net/curso-de-vendas-online,1.0,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
