date,product,category,marketplace,price,sales_count,revenue,commission_rate,commission_amount,has_stock_requirement,product_type,source,affiliate_network,platform,cost,profit,profit_margin,collected_at
2025-04-30,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,270.95,25,6773.69,8.22,556.67,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-29,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,269.74,21,5664.6,8.22,465.52,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-28,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,263.56,15,3953.36,8.22,324.89,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-27,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,256.56,15,3848.4,8.22,316.27,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-26,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,261.61,31,8109.95,8.22,666.48,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-25,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,265.34,18,4776.12,8.22,392.51,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-24,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,272.97,10,2729.65,8.22,224.33,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-23,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,251.7,10,2516.98,8.22,206.85,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-22,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,265.8,27,7176.69,8.22,589.79,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-21,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,268.18,4,1072.7,8.22,88.16,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-20,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,270.25,31,8377.65,8.22,688.48,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-19,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,269.94,19,5128.87,8.22,421.5,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-18,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,273.84,12,3286.12,8.22,270.06,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-17,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,253.22,24,6077.17,8.22,499.43,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-16,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,256.89,7,1798.26,8.22,147.78,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-15,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,274.61,28,7689.02,8.22,631.89,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-14,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,249.58,30,7487.31,8.22,615.31,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-13,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,257.01,13,3341.08,8.22,274.57,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-12,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,250.74,11,2758.17,8.22,226.67,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-11,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,259.47,21,5448.78,8.22,447.79,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-10,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,260.2,15,3902.93,8.22,320.75,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-09,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,257.23,10,2572.3,8.22,211.39,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-08,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,263.4,21,5531.4,8.22,454.58,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-07,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,261.15,21,5484.21,8.22,450.7,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
