platform,type,term,content,engagement,url,timestamp,author,views,collected_at
tiktok,video,#dropshipping,Resposta sincera: #dropshipping vale a pena em 2025? Veja meus resultados reais! #sinceridade,251170,https://www.tiktok.com/@guru_dropshipping/video/Simulated_-4175489688206589330,2025-04-24 17:58:19,guru_dropshipping,966042.0,2025-04-30 17:58:21
tiktok,video,#rendaextra,3 produtos que você PRECISA vender em #rendaextra AGORA! Método sem estoque! #dinheiroonline,250019,https://www.tiktok.com/@tiktok_empreendedr/video/Simulated_-5442256987117382035,2025-04-30 17:58:19,tiktok_empreendedr,961616.0,2025-04-30 17:58:21
tiktok,video,#dropshipping,Olha quanto eu ganhei esse mês com #dropshipping! 🤯 Sem precisar comprar produtos! #rendaextra #trabalheemcasa,232109,https://www.tiktok.com/@guru_dropshipping/video/Simulated_-1166255780773469851,2025-04-22 17:58:19,guru_dropshipping,892730.0,2025-04-30 17:58:21
tiktok,video,#franquiadigital,Resposta sincera: #franquiadigital vale a pena em 2025? Veja meus resultados reais! #sinceridade,226124,https://www.tiktok.com/@ganhedinheiro/video/Simulated_7855515042390480951,2025-04-27 17:58:19,ganhedinheiro,869712.0,2025-04-30 17:58:21
tiktok,video,#negocioonline,Resposta sincera: #negocioonline vale a pena em 2025? Veja meus resultados reais! #sinceridade,219261,https://www.tiktok.com/@dicasbusiness/video/Simulated_-8075343127372275153,2025-04-04 17:58:19,dicasbusiness,843316.0,2025-04-30 17:58:21
tiktok,video,#trabalhardecasa,3 produtos que você PRECISA vender em #trabalhardecasa AGORA! Método sem estoque! #dinheiroonline,217475,https://www.tiktok.com/@marketingdigital/video/Simulated_-1087515776523619620,2025-04-29 17:58:19,marketingdigital,836449.0,2025-04-30 17:58:21
tiktok,video,#comissao,Olha quanto eu ganhei esse mês com #comissao! 🤯 Sem precisar comprar produtos! #rendaextra #trabalheemcasa,190918,https://www.tiktok.com/@marketingdigital/video/Simulated_-6205896050033177557,2025-04-15 17:58:19,marketingdigital,734302.0,2025-04-30 17:58:21
tiktok,video,#marketingdigital,Como eu trabalho apenas 2 horas por dia e ganho mais que um médico usando #marketingdigital! #liberdade,184431,https://www.tiktok.com/@ganhedinheiro/video/Simulated_-4659339543251892872,2025-04-12 17:58:19,ganhedinheiro,709355.0,2025-04-30 17:58:21
tiktok,video,#empreendedorismo,Passo a passo: Como eu comecei do ZERO com #empreendedorismo e hoje faturo mais de 10K por mês! #tutorial,172444,https://www.tiktok.com/@renda_online/video/Simulated_1270660830153995082,2025-04-04 17:58:19,renda_online,663252.0,2025-04-30 17:58:21
tiktok,video,#comissao,3 produtos que você PRECISA vender em #comissao AGORA! Método sem estoque! #dinheiroonline,156967,https://www.tiktok.com/@tiktok_empreendedr/video/Simulated_-7919075072717994115,2025-04-26 17:58:19,tiktok_empreendedr,603720.0,2025-04-30 17:58:21
tiktok,video,#franquiadigital,Resposta sincera: #franquiadigital vale a pena em 2025? Veja meus resultados reais! #sinceridade,142045,https://www.tiktok.com/@renda_online/video/Simulated_1294104168302279314,2025-04-05 17:58:19,renda_online,546332.0,2025-04-30 17:58:21
tiktok,video,#vendanoinstagram,Olha quanto eu ganhei esse mês com #vendanoinstagram! 🤯 Sem precisar comprar produtos! #rendaextra #trabalheemcasa,109634,https://www.tiktok.com/@guru_dropshipping/video/Simulated_626020083276806912,2025-04-13 17:58:19,guru_dropshipping,421675.0,2025-04-30 17:58:21
tiktok,video,#vendanotiktok,3 produtos que você PRECISA vender em #vendanotiktok AGORA! Método sem estoque! #dinheiroonline,97338,https://www.tiktok.com/@tiktok_empreendedr/video/Simulated_4432699409623498995,2025-04-13 17:58:19,tiktok_empreendedr,374381.0,2025-04-30 17:58:21
tiktok,video,#vendasonline,Você pode começar seu negócio com apenas R$100! #vendasonline é a solução! Arrasta pra cima! #oportunidade,69026,https://www.tiktok.com/@renda_online/video/Simulated_-6951548637990431345,2025-04-16 17:58:19,renda_online,265493.0,2025-04-30 17:58:21
tiktok,video,#negocioonline,3 produtos que você PRECISA vender em #negocioonline AGORA! Método sem estoque! #dinheiroonline,56258,https://www.tiktok.com/@dicasbusiness/video/Simulated_4393637551619549796,2025-04-06 17:58:19,dicasbusiness,216382.0,2025-04-30 17:58:21
tiktok,video,#revender,3 produtos que você PRECISA vender em #revender AGORA! Método sem estoque! #dinheiroonline,37892,https://www.tiktok.com/@renda_online/video/Simulated_552964060265335432,2025-04-22 17:58:19,renda_online,145740.0,2025-04-30 17:58:21
tiktok,video,#trabalhardecasa,Olha quanto eu ganhei esse mês com #trabalhardecasa! 🤯 Sem precisar comprar produtos! #rendaextra #trabalheemcasa,30436,https://www.tiktok.com/@guru_dropshipping/video/Simulated_-6288654648273438782,2025-04-12 17:58:19,guru_dropshipping,117069.0,2025-04-30 17:58:21
tiktok,video,#vendasonline,Como eu trabalho apenas 2 horas por dia e ganho mais que um médico usando #vendasonline! #liberdade,10068,https://www.tiktok.com/@tiktok_empreendedr/video/Simulated_-3814755933633696570,2025-04-16 17:58:19,tiktok_empreendedr,38727.0,2025-04-30 17:58:21
instagram,hashtag,#vendasonline,Já pensou em começar seu próprio negócio sem investimento inicial? #vendasonline é a solução! Veja como eu comecei. #marketingdigital,9532,https://www.instagram.com/p/Simulated_vendasonline_2/,2025-04-26 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#rendaextra,Já pensou em começar seu próprio negócio sem investimento inicial? #rendaextra é a solução! Veja como eu comecei. #marketingdigital,9322,https://www.instagram.com/p/Simulated_rendaextra_1/,2025-04-10 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#empreendedorismo,Como eu consegui renda extra com #empreendedorismo trabalhando apenas 3 horas por dia. #trabalheemcasa #rendapassiva,9148,https://www.instagram.com/p/Simulated_empreendedorismo_0/,2025-04-04 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#comissao,Já pensou em começar seu próprio negócio sem investimento inicial? #comissao é a solução! Veja como eu comecei. #marketingdigital,8200,https://www.instagram.com/p/Simulated_comissao_1/,2025-04-15 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#vendanoinstagram,Já pensou em começar seu próprio negócio sem investimento inicial? #vendanoinstagram é a solução! Veja como eu comecei. #marketingdigital,8168,https://www.instagram.com/p/Simulated_vendanoinstagram_0/,2025-04-27 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#empreendedorismo,"Quer ganhar uma renda extra? Comece agora com #empreendedorismo! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",8159,https://www.instagram.com/p/Simulated_empreendedorismo_1/,2025-04-15 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#revender,"Quer ganhar uma renda extra? Comece agora com #revender! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",8110,https://www.instagram.com/p/Simulated_revender_1/,2025-04-29 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#rendaextra,Resultados reais com #rendaextra! Vendi mais de R$5000 no primeiro mês sem precisar comprar produtos. #dropshipping #liberdadefinanceira,7613,https://www.instagram.com/p/Simulated_rendaextra_0/,2025-04-30 17:58:15,,,2025-04-30 17:58:21
